Jensen et al. Temporal disease trajectories condensed from population-wide registry data covering 6.2 million patients,,,,,,,,,,,,,,,,
Supplementary Data 2 | Trajectory counting,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Median age at ,,,,,Count,time 1->2,,,Count,time ->3,,,Count,time ->4
COPD,I20_I70_J44_J41,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,J41,Simple and mucopurulent chronic bronchitis,21,99.52
COPD,I20_I70_J44_J42,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,J42,Unspecified chronic bronchitis,82,100.77
COPD,I20_I70_J44_J96,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,J96,"Respiratory failure, not elsewhere classified",173,100.39
COPD,I20_I70_J44_K55,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,K55,Vascular disorders of intestine,23,102.69
COPD,I20_I70_J44_K59,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,K59,Other functional intestinal disorders,95,111.69
COPD,I20_I70_J44_M80,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,M80,Osteoporosis with pathological fracture,49,114.51
COPD,I20_I70_J44_M81,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,M81,Osteoporosis without pathological fracture,69,113.93
COPD,I20_I70_J44_N30,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,N30,Cystitis,132,108.21
COPD,I20_I70_L97_E86,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,L97,"Ulcer of lower limb, not elsewhere classified",1070,66.9,E86,Volume depletion,86,90.61
COPD,I20_I70_L97_J15,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,L97,"Ulcer of lower limb, not elsewhere classified",1070,66.9,J15,"Bacterial pneumonia, not elsewhere classified",61,96.81
COPD,I20_I70_L97_J96,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,L97,"Ulcer of lower limb, not elsewhere classified",1070,66.9,J96,"Respiratory failure, not elsewhere classified",52,98.38
COPD,I70_J44_A46_A41,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,A46,Erysipelas,317,75.37,A41,Other septicaemia,36,98.88
COPD,I70_J44_A46_E86,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,A46,Erysipelas,317,75.37,E86,Volume depletion,30,95.95
COPD,I70_J44_A46_J15,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,A46,Erysipelas,317,75.37,J15,"Bacterial pneumonia, not elsewhere classified",33,95.49
COPD,I70_J44_A46_J96,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,A46,Erysipelas,317,75.37,J96,"Respiratory failure, not elsewhere classified",38,95.15
COPD,I70_J44_A46_L97,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,A46,Erysipelas,317,75.37,L97,"Ulcer of lower limb, not elsewhere classified",35,85.17
COPD,I70_J44_J41_J15,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J41,Simple and mucopurulent chronic bronchitis,215,67.15,J15,"Bacterial pneumonia, not elsewhere classified",27,83.78
COPD,I70_J44_J41_J96,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J41,Simple and mucopurulent chronic bronchitis,215,67.15,J96,"Respiratory failure, not elsewhere classified",38,92.6
COPD,I70_J44_J41_N30,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J41,Simple and mucopurulent chronic bronchitis,215,67.15,N30,Cystitis,28,88.9
COPD,I70_J44_J42_A41,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,A41,Other septicaemia,63,92.45
COPD,I70_J44_J42_A46,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,A46,Erysipelas,32,97.02
COPD,I70_J44_J42_E86,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,E86,Volume depletion,56,94.94
COPD,I70_J44_J42_E87,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,E87,"Other disorders of fluid, electrolyte and acid-base balance",33,87.77
COPD,I70_J44_J42_J15,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,J15,"Bacterial pneumonia, not elsewhere classified",86,89.27
COPD,I70_J44_J42_J96,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,J96,"Respiratory failure, not elsewhere classified",130,86.79
COPD,I70_J44_J42_K59,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,K59,Other functional intestinal disorders,41,94.52
COPD,I70_J44_J42_L97,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,L97,"Ulcer of lower limb, not elsewhere classified",39,88.1
COPD,I70_J44_J42_M80,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,M80,Osteoporosis with pathological fracture,32,90.53
COPD,I70_J44_J42_M81,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,M81,Osteoporosis without pathological fracture,49,94.11
COPD,I70_J44_J42_N30,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,J42,Unspecified chronic bronchitis,742,65.93,N30,Cystitis,74,91.7
COPD,I70_J44_K59_A41,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,K59,Other functional intestinal disorders,561,71.76,A41,Other septicaemia,54,90.25
COPD,I70_J44_K59_J15,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,K59,Other functional intestinal disorders,561,71.76,J15,"Bacterial pneumonia, not elsewhere classified",54,88.52
COPD,I70_J44_K59_J96,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,K59,Other functional intestinal disorders,561,71.76,J96,"Respiratory failure, not elsewhere classified",60,95.89
COPD,I70_J44_M80_A41,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M80,Osteoporosis with pathological fracture,373,75.28,A41,Other septicaemia,30,98.89
COPD,I70_J44_M80_E86,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M80,Osteoporosis with pathological fracture,373,75.28,E86,Volume depletion,48,90.23
COPD,I70_J44_M80_J15,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M80,Osteoporosis with pathological fracture,373,75.28,J15,"Bacterial pneumonia, not elsewhere classified",30,90.48
COPD,I70_J44_M80_J96,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M80,Osteoporosis with pathological fracture,373,75.28,J96,"Respiratory failure, not elsewhere classified",61,94.16
COPD,I70_J44_M80_L97,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M80,Osteoporosis with pathological fracture,373,75.28,L97,"Ulcer of lower limb, not elsewhere classified",21,95.01
COPD,I70_J44_M81_A41,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M81,Osteoporosis without pathological fracture,561,74.62,A41,Other septicaemia,38,94
COPD,I70_J44_M81_E86,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M81,Osteoporosis without pathological fracture,561,74.62,E86,Volume depletion,46,95.26
COPD,I70_J44_M81_E87,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M81,Osteoporosis without pathological fracture,561,74.62,E87,"Other disorders of fluid, electrolyte and acid-base balance",20,89.38
COPD,I70_J44_M81_J15,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M81,Osteoporosis without pathological fracture,561,74.62,J15,"Bacterial pneumonia, not elsewhere classified",42,92.02
COPD,I70_J44_M81_J96,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M81,Osteoporosis without pathological fracture,561,74.62,J96,"Respiratory failure, not elsewhere classified",74,100.5
COPD,I70_J44_M81_L97,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,M81,Osteoporosis without pathological fracture,561,74.62,L97,"Ulcer of lower limb, not elsewhere classified",31,89.9
COPD,I70_J44_N30_A41,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,N30,Cystitis,927,70.71,A41,Other septicaemia,109,84.97
COPD,I70_J44_N30_J15,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,N30,Cystitis,927,70.71,J15,"Bacterial pneumonia, not elsewhere classified",80,89.66
COPD,I70_J44_N30_J22,70.96,I70,Atherosclerosis,J44,Other chronic obstructive pulmonary disease,10420,45.64,N30,Cystitis,927,70.71,J22,Unspecified acute lower respiratory infection,20,87.98
COPD,J44_A09_K59_A41,67.84,J44,Other chronic obstructive pulmonary disease,A09,Diarrhoea and gastroenteritis of presumed infectious origin,4534,40.58,K59,Other functional intestinal disorders,380,60.61,A41,Other septicaemia,40,85.64
COPD,J44_A09_K59_J15,67.84,J44,Other chronic obstructive pulmonary disease,A09,Diarrhoea and gastroenteritis of presumed infectious origin,4534,40.58,K59,Other functional intestinal disorders,380,60.61,J15,"Bacterial pneumonia, not elsewhere classified",36,86.82
COPD,J44_A09_K59_J96,67.84,J44,Other chronic obstructive pulmonary disease,A09,Diarrhoea and gastroenteritis of presumed infectious origin,4534,40.58,K59,Other functional intestinal disorders,380,60.61,J96,"Respiratory failure, not elsewhere classified",35,80.19
COPD,J44_A46_L97_A41,68.86,J44,Other chronic obstructive pulmonary disease,A46,Erysipelas,4521,42.51,L97,"Ulcer of lower limb, not elsewhere classified",326,58.84,A41,Other septicaemia,27,82.49
COPD,J44_A46_L97_E86,68.86,J44,Other chronic obstructive pulmonary disease,A46,Erysipelas,4521,42.51,L97,"Ulcer of lower limb, not elsewhere classified",326,58.84,E86,Volume depletion,33,82.3
COPD,J44_A46_L97_J96,68.86,J44,Other chronic obstructive pulmonary disease,A46,Erysipelas,4521,42.51,L97,"Ulcer of lower limb, not elsewhere classified",326,58.84,J96,"Respiratory failure, not elsewhere classified",44,81.15
COPD,J44_J41_K59_J15,68.87,J44,Other chronic obstructive pulmonary disease,J41,Simple and mucopurulent chronic bronchitis,4426,29.24,K59,Other functional intestinal disorders,316,64.58,J15,"Bacterial pneumonia, not elsewhere classified",39,86.9
COPD,J44_J41_K59_J96,68.87,J44,Other chronic obstructive pulmonary disease,J41,Simple and mucopurulent chronic bronchitis,4426,29.24,K59,Other functional intestinal disorders,316,64.58,J96,"Respiratory failure, not elsewhere classified",44,86.82
COPD,J44_J42_A46_A41,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,A46,Erysipelas,512,61.24,A41,Other septicaemia,46,78.88
COPD,J44_J42_A46_J96,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,A46,Erysipelas,512,61.24,J96,"Respiratory failure, not elsewhere classified",82,89.74
COPD,J44_J42_K59_A41,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,K59,Other functional intestinal disorders,1148,61.31,A41,Other septicaemia,98,84.12
COPD,J44_J42_K59_J15,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,K59,Other functional intestinal disorders,1148,61.31,J15,"Bacterial pneumonia, not elsewhere classified",142,82.91
COPD,J44_J42_K59_J22,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,K59,Other functional intestinal disorders,1148,61.31,J22,Unspecified acute lower respiratory infection,24,81.1
COPD,J44_J42_K59_J96,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,K59,Other functional intestinal disorders,1148,61.31,J96,"Respiratory failure, not elsewhere classified",160,80.25
COPD,J44_J42_M80_A41,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M80,Osteoporosis with pathological fracture,917,54.85,A41,Other septicaemia,69,75.99
COPD,J44_J42_M80_E86,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M80,Osteoporosis with pathological fracture,917,54.85,E86,Volume depletion,89,74.17
COPD,J44_J42_M80_J15,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M80,Osteoporosis with pathological fracture,917,54.85,J15,"Bacterial pneumonia, not elsewhere classified",99,75.34
COPD,J44_J42_M80_J96,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M80,Osteoporosis with pathological fracture,917,54.85,J96,"Respiratory failure, not elsewhere classified",165,76.98
COPD,J44_J42_M80_L97,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M80,Osteoporosis with pathological fracture,917,54.85,L97,"Ulcer of lower limb, not elsewhere classified",27,73.36
COPD,J44_J42_M81_A41,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M81,Osteoporosis without pathological fracture,1576,60.35,A41,Other septicaemia,110,86.91
COPD,J44_J42_M81_E86,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M81,Osteoporosis without pathological fracture,1576,60.35,E86,Volume depletion,135,84.4
COPD,J44_J42_M81_E87,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M81,Osteoporosis without pathological fracture,1576,60.35,E87,"Other disorders of fluid, electrolyte and acid-base balance",58,85.03
COPD,J44_J42_M81_F03,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M81,Osteoporosis without pathological fracture,1576,60.35,F03,Unspecified dementia,46,87.72
COPD,J44_J42_M81_J15,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M81,Osteoporosis without pathological fracture,1576,60.35,J15,"Bacterial pneumonia, not elsewhere classified",175,84.12
COPD,J44_J42_M81_J22,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M81,Osteoporosis without pathological fracture,1576,60.35,J22,Unspecified acute lower respiratory infection,57,92.76
COPD,J44_J42_M81_J96,69.85,J44,Other chronic obstructive pulmonary disease,J42,Unspecified chronic bronchitis,17066,26.91,M81,Osteoporosis without pathological fracture,1576,60.35,J96,"Respiratory failure, not elsewhere classified",296,85.92
